book name,price
Machine Learning Using Python,461
Hands-On Machine Learning with Scikit-Learn.. Keras.. and...,2600
Machine Learning 1 Edition,510
Machine Learning,585
AI and Machine Learning,1931
Understanding Machine Learning,899
Real-World Machine Learning: 2017,759
Mathematics for Machine Learning (Preview Available),7541
Hands-On Predictive Analytics with Python,2825
Data Science and Machine Learning with R,567
Introduction to Machine Learning,160
Machine Learning,299
AI and Machine Learning for Coders: A Programmer's Guid...,1450
Superintelligence,500
Weapons of Math Destruction,383
Deep Learning  - Deep Learning,4999
Machine Learning with PyTorch and Scikit-Learn,3148
Statistical and Machine-Learning Data Mining:,3649
Interpretable Machine Learning with Python,3148
Practical Deep Learning at Scale with MLflow,2889
Machine Learning on Kubernetes,2744
Prediction and Analysis for Knowledge Representation an...,11143
Introducing MLOps: How to Scale Machine Learning in the...,750
Machine Learning for Email: Spam Filtering and Priority...,525
Machine Learning and Data Science Blueprints for Financ...,1575
Practical Automated Machine Learning on Azure: Using Az...,700
Deep Learning with TensorFlow 2 and Keras,2169
Big Data,1508
Graph Machine Learning,2825
Deep Reinforcement Learning with Python,2260
Mathematics for Machine Learning (Preview Available),2200
Python Artificial Intelligence Projects for Beginners,1533
Machine Learning (in Python and R) for Dummies,588
Optimization for Data Analysis,3820
Mastering Machine Learning for Penetration Testing,2502
Security with AI and Machine Learning (English.. Paperba...,250
The Machine is Learning,340
Designing Machine Learning Systems: An Iterative Proces...,1600
Practical Simulations for Machine Learning: Using Synth...,1450
Linear Algebra and Learning from Data,3595